scenario;run;clientId;timestamp;numberOfNeighbors
10/90;1;129;67;2
10/90;2;117;62;3
10/90;3;127;54;12
10/90;4;104;76;9
10/90;5;8;80;13
10/90;6;129;77;1
10/90;7;102;26;24
10/90;8;100;61;1
10/90;9;142;2;2
10/90;10;102;44;21
10/90;11;8;50;23
10/90;12;99;56;2
10/90;13;117;75;1
10/90;14;101;78;8
10/90;15;102;4;13
10/90;16;139;64;10
10/90;17;114;23;7
10/90;18;127;78;3
10/90;19;103;57;16
10/90;20;139;61;9
10/90;21;105;80;1
10/90;22;8;34;14
10/90;23;139;19;5
10/90;24;103;63;16
10/90;25;117;6;3
10/90;26;127;21;3
10/90;27;103;22;13
10/90;28;104;33;15
10/90;29;139;3;8
10/90;30;129;1;3
10/90;31;100;62;1
10/90;32;105;61;2
10/90;33;127;55;6
10/90;34;117;67;3
10/90;35;103;58;17
10/90;36;99;2;2
10/90;37;105;45;3
10/90;38;102;67;15
10/90;39;127;20;4
10/90;40;102;34;18
10/90;41;103;29;4
10/90;42;105;75;1
10/90;43;114;68;10
10/90;44;101;55;6
10/90;45;127;20;3
10/90;46;8;40;12
10/90;47;142;62;2
10/90;48;114;73;9
10/90;49;117;64;3
10/90;50;8;56;15
